"keyword","pos_dominant_days","neg_dominant_days","close_battle_days","active_days_of_keyword","total_post_count","pos_dominant_ratio","neg_dominant_ratio","close_battle_ratio","denominator","score"
"7 days to die",29,1,2,32,433,0.90625,0.03125,0.0625,0.2859375,9.83606557377049
"apex legends",6,13,12,31,103,0.193548387096774,0.419354838709677,0.387096774193548,0.342741935483871,50.8235294117647
"ark: survival ascended",3,23,6,32,475,0.09375,0.71875,0.1875,0.3078125,27.4111675126904
"ark: survival evolved",27,2,3,32,382,0.84375,0.0625,0.09375,0.29140625,14.4772117962466
"assassin's creed shadows",14,6,12,32,556,0.4375,0.1875,0.375,0.340625,49.5412844036697
"astro bot",14,3,3,20,50,0.7,0.15,0.15,0.30125,22.4066390041494
"atomfall",20,0,5,25,247,0.8,0,0.2,0.31,29.0322580645161
"balatro",31,0,0,31,651,1,0,0,0.275,0
"baldur's gate 3",32,0,0,32,664,1,0,0,0.275,0
"banana",9,2,2,13,22,0.692307692307692,0.153846153846154,0.153846153846154,0.301923076923077,22.9299363057325
"battlefield 1",25,2,5,32,443,0.78125,0.0625,0.15625,0.30234375,23.2558139534884
"battlefield v",18,9,5,32,338,0.5625,0.28125,0.15625,0.30234375,23.2558139534884
"black myth: wukong",32,0,0,32,370,1,0,0,0.275,0
"borderlands 3",13,8,4,25,328,0.52,0.32,0.16,0.303,23.7623762376238
"call of duty: black ops 6",2,25,5,32,379,0.0625,0.78125,0.15625,0.30234375,23.2558139534884
"cities: skylines",28,1,3,32,410,0.875,0.03125,0.09375,0.29140625,14.4772117962466
"clair obscur: expedition 33",6,0,0,6,104,1,0,0,0.275,0
"counter-strike 2",2,24,6,32,480,0.0625,0.75,0.1875,0.3078125,27.4111675126904
"crosshair x",32,0,0,32,352,1,0,0,0.275,0
"crusader kings iii",15,7,5,27,146,0.555555555555556,0.259259259259259,0.185185185185185,0.307407407407407,27.1084337349398
"cyberpunk 2077",32,0,0,32,640,1,0,0,0.275,0
"dayz",16,3,13,32,597,0.5,0.09375,0.40625,0.34609375,52.8216704288939
"dead by daylight",5,13,14,32,578,0.15625,0.40625,0.4375,0.3515625,56
"destiny 2",10,9,13,32,317,0.3125,0.28125,0.40625,0.34609375,52.8216704288939
"detroit: become human",25,0,0,25,303,1,0,0,0.275,0
"don't starve together",27,1,4,32,343,0.84375,0.03125,0.125,0.296875,18.9473684210526
"dota 2",15,6,10,32,156,0.46875,0.1875,0.3125,0.32109375,43.7956204379562
"dynasty warriors: origins",25,3,3,32,221,0.78125,0.09375,0.09375,0.2828125,14.9171270718232
"ea sports fc 25",0,30,2,32,370,0,0.9375,0.0625,0.2859375,9.83606557377049
"elden ring",31,1,0,32,672,0.96875,0.03125,0,0.275,0
"euro truck simulator 2",32,0,0,32,410,1,0,0,0.275,0
"factorio",31,0,1,32,566,0.96875,0,0.03125,0.28046875,5.01392757660167
"farming simulator 2",29,0,3,32,393,0.90625,0,0.09375,0.29140625,14.4772117962466
"final fantasy vii remake",30,0,2,32,293,0.9375,0,0.0625,0.2859375,9.83606557377049
"final fantasy xiv",19,3,10,32,346,0.59375,0.09375,0.3125,0.3296875,42.654028436019
"final fantasy xv",25,1,5,31,206,0.806451612903226,0.032258064516129,0.161290322580645,0.303225806451613,23.936170212766
"final fantasy xvi",27,0,5,32,414,0.84375,0,0.15625,0.30234375,23.2558139534884
"football manager 2024",28,1,3,32,302,0.875,0.03125,0.09375,0.29140625,14.4772117962466
"fragpunk",17,0,6,23,51,0.739130434782609,0,0.260869565217391,0.320652173913043,36.6101694915254
"geometry dash",31,0,1,32,519,0.96875,0,0.03125,0.28046875,5.01392757660167
"grand theft auto v enhanced",4,17,11,32,453,0.125,0.53125,0.34375,0.33515625,46.1538461538461
"grand theft auto v legacy",6,9,2,18,25,0.333333333333333,0.5,0.111111111111111,0.279166666666667,17.910447761194
"hearts of iron iv",12,3,4,23,116,0.521739130434783,0.130434782608696,0.173913043478261,0.257608695652174,30.379746835443
"heroes of the storm",3,8,6,17,26,0.176470588235294,0.470588235294118,0.352941176470588,0.336764705882353,47.1615720524018
"hogwarts legacy",26,1,5,32,438,0.8125,0.03125,0.15625,0.30234375,23.2558139534884
"it takes two",32,0,0,32,369,1,0,0,0.275,0
"kingdom come: deliverance ii",32,0,0,32,584,1,0,0,0.275,0
"league of legends",8,10,13,32,142,0.25,0.3125,0.40625,0.3375,54.1666666666667
"left 4 dead 2",32,0,0,32,424,1,0,0,0.275,0
"limbus company",8,8,8,24,80,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,45
"lost ark",5,14,12,31,123,0.161290322580645,0.451612903225806,0.387096774193548,0.342741935483871,50.8235294117647
"marvel rivals",15,5,10,30,171,0.5,0.166666666666667,0.333333333333333,0.333333333333333,45
"marvel's spider-man: miles morales",19,0,5,25,188,0.76,0,0.2,0.299,30.1003344481605
"marvel's spider-man: remastered",25,0,0,25,249,1,0,0,0.275,0
"mass effect: legendary edition",25,0,0,25,388,1,0,0,0.275,0
"metaphor: refantazio",25,0,0,25,236,1,0,0,0.275,0
"minecraft",15,2,14,32,274,0.46875,0.0625,0.4375,0.34296875,57.4031890660592
"monster hunter wilds",2,16,14,32,415,0.0625,0.5,0.4375,0.3515625,56
"monster hunter: rise",28,0,4,32,263,0.875,0,0.125,0.296875,18.9473684210526
"monster hunter: world",29,1,2,32,386,0.90625,0.03125,0.0625,0.2859375,9.83606557377049
"monster hunter: world: iceborne",20,4,6,31,132,0.645161290322581,0.129032258064516,0.193548387096774,0.3,29.0322580645161
"mount & blade ii: bannerlord",28,2,2,32,331,0.875,0.0625,0.0625,0.2859375,9.83606557377049
"naraka: bladepoint",12,3,4,19,32,0.631578947368421,0.157894736842105,0.210526315789474,0.311842105263158,30.379746835443
"nba 2k25",2,27,3,32,399,0.0625,0.84375,0.09375,0.29140625,14.4772117962466
"new world: aeternum",15,5,11,32,308,0.46875,0.15625,0.34375,0.3265625,47.3684210526316
"nier:automata",2,0,0,2,21,1,0,0,0.275,0
"overwatch 2",5,16,11,32,199,0.15625,0.5,0.34375,0.33515625,46.1538461538461
"palworld",30,1,1,32,592,0.9375,0.03125,0.03125,0.28046875,5.01392757660167
"path of exile 2",3,27,2,32,451,0.09375,0.84375,0.0625,0.2859375,9.83606557377049
"persona 5 royal",25,0,0,25,387,1,0,0,0.275,0
"project zomboid",32,0,0,32,482,1,0,0,0.275,0
"pubg: battlegrounds",11,10,11,32,355,0.34375,0.3125,0.34375,0.33515625,46.1538461538461
"r.e.p.o.",32,0,0,32,415,1,0,0,0.275,0
"red dead redemption 2",31,1,0,32,678,0.96875,0.03125,0,0.275,0
"rimworld",29,0,3,32,569,0.90625,0,0.09375,0.29140625,14.4772117962466
"rust",12,5,15,32,653,0.375,0.15625,0.46875,0.35703125,59.0809628008753
"scum",19,7,3,29,123,0.655172413793103,0.241379310344828,0.103448275862069,0.293103448275862,15.8823529411765
"shin megami tensei v: vengeance",16,2,2,21,62,0.761904761904762,0.0952380952380952,0.0952380952380952,0.278571428571429,15.3846153846154
"sid meier's civilization vii",1,26,4,32,413,0.03125,0.8125,0.125,0.28828125,19.5121951219512
"slay the spire",32,0,0,32,394,1,0,0,0.275,0
"sons of the forest",30,0,2,32,413,0.9375,0,0.0625,0.2859375,9.83606557377049
"split fiction",32,0,0,32,505,1,0,0,0.275,0
"stardew valley",32,0,0,32,676,1,0,0,0.275,0
"street fighter 6",26,1,5,32,362,0.8125,0.03125,0.15625,0.30234375,23.2558139534884
"team fortress 2",19,2,10,32,274,0.59375,0.0625,0.3125,0.32109375,43.7956204379562
"terraria",31,0,1,32,721,0.96875,0,0.03125,0.28046875,5.01392757660167
"the binding of isaac: rebirth",29,0,3,32,404,0.90625,0,0.09375,0.29140625,14.4772117962466
"the elder scrolls iv: oblivion remastered",4,0,3,7,132,0.571428571428571,0,0.428571428571429,0.35,55.1020408163265
"the elder scrolls v: skyrim special edition",29,1,2,32,484,0.90625,0.03125,0.0625,0.2859375,9.83606557377049
"the elder scrolls v: skyrim: special edition",7,0,1,8,62,0.875,0,0.125,0.296875,18.9473684210526
"the finals",7,8,10,25,144,0.28,0.32,0.4,0.345,52.1739130434783
"the last of us part i",32,0,0,32,528,1,0,0,0.275,0
"the sims 4",21,4,7,32,384,0.65625,0.125,0.21875,0.31328125,31.4214463840399
"the witcher 3: wild hunt",32,0,0,32,486,1,0,0,0.275,0
"throne and liberty",4,23,4,32,112,0.125,0.71875,0.125,0.28828125,19.5121951219512
"tmodloader",1,13,3,18,29,0.0555555555555556,0.722222222222222,0.166666666666667,0.288888888888889,25.9615384615385
"tom clancy's rainbow six siege",3,22,7,32,603,0.09375,0.6875,0.21875,0.31328125,31.4214463840399
"total war: warhammer iii",26,0,6,32,514,0.8125,0,0.1875,0.3078125,27.4111675126904
"valheim",30,0,2,32,620,0.9375,0,0.0625,0.2859375,9.83606557377049
"wallpaper engine",32,0,0,32,386,1,0,0,0.275,0
"war thunder",9,16,7,32,188,0.28125,0.5,0.21875,0.31328125,31.4214463840399
"warframe",7,11,14,32,262,0.21875,0.34375,0.4375,0.3515625,56
"watchdogs: legion",7,8,4,20,47,0.35,0.4,0.2,0.29625,30.379746835443
"yu-gi-oh! master duel",9,8,14,32,115,0.28125,0.25,0.4375,0.34296875,57.4031890660592
